,player_id,team_id,team_name,player_name,level_y,country_y,matches_played,cumulative_conceded,cumulative_pass_value,cumulative_claims,cumulative_saves,attempted_passes,level_weight,rate_conceded,rate_claims,rate_saves,success_rate_passes,percentile_rate_conceded,percentile_rate_claims,percentile_rate_saves,percentile_pass_success,general_metric,general_metric_rank,player_role,cumulative_progressive,cumulative_tackle_value,cumulative_int_value,cumulative_block_value,cumulative_clearance_value,cumulative_rec_value,cumulative_g_duel_value,cumulative_a_duel_value,cumulative_cross_value,cumulative_shots,cumulative_is_goal,cumulative_progressivecv,cumulative_key_pass_value,cumulative_dribble_value,cumulative_assist,attempted_tackles,attempted_ground_duels,attempted_aerial_duels,attempted_crosses,attempted_dribbles,attempted_shots,rate_progressive,rate_progressive_carries,rate_clearance_value,rate_rec_value,rate_int_value,rate_block_value,rate_carries,success_rate_tackles,success_rate_ground_duels,success_rate_aerial_duels,success_rate_crosses,success_rate_dribbles,shot_accuracy,percentile_success_rate_passes,percentile_success_rate_tackles,percentile_rate_int_value,percentile_rate_block_value,percentile_success_rate_ground_duels,percentile_success_rate_aerial_duels,percentile_rate_clearance_value,percentile_success_rate_crosses,percentile_rate_progressive,percentile_rate_rec_value,cumulative_ground_duel_value,cumulative_aerial_duel_value,attempted_key_passes,attempted_assists,rate_key_pass_value,rate_dribble_value,rate_assist,rate_ground_duels,rate_aerial_duels,rate_tackle_value,success_rate_key_passes,success_rate_assists,percentile_pass_value,percentile_progressive,percentile_key_pass_value,percentile_dribble_value,percentile_tackle_value,percentile_ground_duels,percentile_aerial_duels,percentile_assists,rate_goals,percentile_goals,cumulative_dribbles,cumulative_assists,cumulative_crosses,cumulative_ground_duels,cumulative_aerial_duels,rate_dribbles,rate_shots,rate_assists,rate_crosses,success_rate_shots,percentile_dribbles,percentile_shots,percentile_crosses
2973,65c329e930dba1c8b1d7cd10,65aae2df7c1f3f9c7c3fda80,Box2Box FC,. Onyekachi,Under 21,Nigeria,2,,,,,,0.8,,,,,,,,,0.264,53.83522727272727,Left Winger,,,,,,,,,,0.0,0.0,0.0,0.0,,,,1.0,1.0,0.0,2.0,2.0,,0.0,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,0.0,,,0.0,0.5,,,,,,27.130681818181817,,,40.19886363636363,92.04545454545455,43.60795454545455,0.0,34.80113636363637,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,85.79545454545455,24.289772727272727,32.24431818181818
283,656db27ec42d17579c05e783,656db115c42d17579c05e6ce,Royston Town,1 Chadwick,First Team,United Kingdom of Great Britain and Northern Ireland,1,3.0,8.0,0.0,0.0,22.0,1.0,3.0,0.0,0.0,0.36363636363636365,91.52249134948097,26.124567474048444,6.920415224913495,4.912280701754386,-0.5636363636363637,0.7017543859649122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491,66432e3fc87610d31e766c65,663a1fbe05bec6a6f17ed1a4,NSOATREMAN FOOTBALL CLUB,ABDUL MANAF UMAR,First Team,Ghana,4,,94.0,,,111.0,1.0,,,,0.8468468468468469,,,,,1.5875900900900901,85.06666666666666,"Attacking Midfielder,Central Midfielder",33.0,2.0,3.0,,,,,,,4.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,,0.0,0.0,8.25,0.25,,,0.75,,,1.0,0.5,0.0,,0.0,0.0,,,,,,,,,,,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.5,0.0,0.0,75.73333333333333,74.66666666666667,80.13333333333334,27.866666666666667,84.13333333333334,76.93333333333334,33.2,41.86666666666667,0.25,84.93333333333334,,,,,,,,,,,,,
2001,66f2a23807f8c9ee5efc07d9,66f694867a1857b62e329ea2,Jnr Danburam FC,ABDULBARI NURA,Under 21,Nigeria,5,,88.0,,,110.0,0.8,,,,0.8,,,,,1.8688,87.5,Central Midfielder,57.0,2.0,6.0,,,,,,,8.0,1.0,2.0,4.0,10.0,3.0,5.0,0.0,1.0,,10.0,0.0,11.4,0.4,,,1.2,,,0.4,0.0,1.0,,1.0,0.0,,,,,,,,,,,0.0,1.0,0.0,0.0,0.8,2.0,0.6,0.0,0.2,0.4,0.0,0.0,53.125,83.06451612903226,89.91935483870968,84.77822580645162,39.71774193548387,38.91129032258064,91.33064516129032,96.57258064516128,,,,,,,,,,,,,,,
765,66670383eab46fe82ebd2928,6666d8beeab46fe82ebd24b6,CHOSEN GENERATION FOOTBALL CLUB,ABDULMALIK ADERINKO,Under 23,Nigeria,1,,4.0,,,7.0,0.9,,,,0.5714285714285714,,,,,1.8064285714285715,61.49253731343284,"Left Back,Left Midfielder,Left Winger,Center Back",4.0,3.0,4.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,13.0,0.0,4.0,1.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,8.358208955223882,37.91044776119403,82.68656716417911,85.82089552238806,35.97014925373134,24.17910447761194,98.80597014925372,30.29850746268657,22.98507462686567,50.14925373134328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697,65e709b3910a6d54ed319e18,65e698f8910a6d54ed319076,Bucknor FC/Academy,ABDULQUADRI AFOLABI,Under 23,Nigeria,1,,17.0,,,20.0,0.9,,,,0.85,,,,,2.5349999999999997,81.7910447761194,"Left Back,Left Winger,Defensive Midfielder,Attacking Midfielder",12.0,1.0,2.0,1.0,5.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,6.0,0.0,0.0,12.0,1.0,5.0,0.0,2.0,1.0,1.0,1.0,0.0,0.8,0.16666666666666666,0.0,0.0,76.4179104477612,81.49253731343283,54.47761194029851,85.82089552238806,35.97014925373134,72.23880597014926,87.46268656716418,67.76119402985074,67.61194029850746,50.14925373134328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,66d9cfe54b75662e74438613,66d9b8174b75662e74438091,JUSTJOHN FC,ABDULRASHEED AWWAL OLAWOYIN,Under 19,Nigeria,1,,0.0,,,1.0,0.7,,,,0.0,,,,,0.034999999999999996,1.729106628242075,"Right Back,Center Back,Right Midfielder,Right Winger",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.729106628242075,15.706051873198849,10.086455331412104,24.927953890489913,35.158501440922194,24.927953890489913,35.73487031700288,29.394812680115272,3.314121037463977,50.14409221902017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,66d9cfe54b75662e74438613,66d9b8174b75662e74438091,JUSTJOHN FC,ABDULRASHEED AWWAL OLAWOYIN,Under 19,Nigeria,4,,21.0,,,38.0,0.7,,,,0.5526315789473685,,,,,1.5034342105263159,40.63400576368876,"Right Back,Right Winger",35.0,4.0,9.0,2.0,9.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,5.0,1.0,4.0,7.0,2.0,0.0,8.75,0.5,2.25,0.0,2.25,0.5,0.5,0.8,1.0,0.25,0.0,1.0,0.0,10.951008645533141,57.49279538904899,62.680115273775215,69.7406340057637,91.06628242074927,51.008645533141205,61.95965417867435,29.394812680115272,40.92219020172911,50.14409221902017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3671,666722a5eab46fe82ebd35ed,6666d8beeab46fe82ebd24b6,CHOSEN GENERATION FOOTBALL CLUB,ABIODUN JOHN,Under 23,Nigeria,1,,,,,,0.9,,,,,,,,,0.29700000000000004,64.21052631578948,"Supporting Striker,Center Forward,Right Winger,Left Winger",,,,,,,,,,0.0,0.0,0.0,1.0,,,,0.0,2.0,1.0,1.0,2.0,,0.0,,,,,,,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,1.0,,,0.0,0.0,,,,,,92.55639097744361,,,37.96992481203007,30.67669172932331,42.18045112781955,0.0,34.285714285714285,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,87.89473684210526,20.225563909774436,38.27067669172932
1570,645395481e67015ea584075f,64511f214a9765378a06dceb,BEYOND LIMITS FOOTBALL ACADEMY,ADEBAYO ADEBAYO,Under 21,Nigeria,1,,3.0,,,5.0,0.8,,,,0.6,,,,,0.248,3.8523274478330656,"Center Back,Right Back",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.242375601926163,13.402889245585875,7.223113964686998,21.187800963081862,35.63402889245586,87.56019261637239,19.743178170144464,42.45585874799358,2.247191011235955,50.08025682182986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
